"id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365"
270072,"Apartment campagne, Paris Pyrénées",1414202,"Marjorie",NA,"Buttes-Chaumont",48.87598,2.38562,"Entire home/apt",150,5,5,"1546272000",0.05,1,95
271825,"ELEGANT COSY STUDIO-TROCADERO/PASSY",1404290,"Joseph",NA,"Passy",48.86108,2.28612,"Entire home/apt",120,7,16,"1556553600",0.18,1,0
272269,"Appartement Montmartre avec jardin",1424998,"Humfred",NA,"Buttes-Montmartre",48.89173,2.34411,"Entire home/apt",150,2,101,"1561824000",1.16,1,290
272303,"Luxury Studio in Marais Paris",1205362,"Edwin",NA,"Temple",48.86416,2.35369,"Entire home/apt",125,4,25,"1553788800",0.27,3,314
272351,"60m2 modern loft - 7th floor with a view - Paris 6",443737,"Alberic",NA,"Luxembourg",48.84469,2.32242,"Entire home/apt",95,3,55,"1560528000",0.6,1,357
272927,"Sunny Apt in heart of Paris next to Luxembourg Garden",1428257,"Pierre",NA,"Luxembourg",48.84953,2.33907,"Entire home/apt",125,3,94,"1557244800",1.01,3,75
273423,"Studio tout neuf au coeur de l'île Saint Louis",415933,"Fabrice",NA,"Hôtel-de-Ville",48.85212,2.35664,"Entire home/apt",95,7,24,"1530892800",1.03,1,37
273662,"Charming Studio - Montmartre (20m2)",1431806,"Vianney",NA,"Buttes-Montmartre",48.8858,2.33878,"Entire home/apt",90,2,0,"",NA,1,0
273780,"Charming studio in center Paris",1432283,"Sabrina",NA,"Louvre",48.86708,2.32584,"Entire home/apt",89,3,30,"1559577600",0.34,1,219
274172,"Feuillantines-Panthéon-Luxembourg",1433482,"Sophia",NA,"Panthéon",48.84105,2.34241,"Entire home/apt",147,5,13,"1546444800",0.15,2,307
274576,"Appartement 2 pièces",1359381,"Virginie",NA,"Buttes-Montmartre",48.88769,2.3496,"Entire home/apt",50,3,6,"1455984000",0.14,1,0
274590,"Heart of Paris - Louvre Opéra",1435861,"Marie-Laure",NA,"Louvre",48.86562,2.33562,"Entire home/apt",365,4,37,"1562342400",0.43,1,351
274731,"Love nest - Upper Marais",1436343,"Aurore",NA,"Temple",48.86472,2.36362,"Entire home/apt",140,3,10,"1545926400",0.12,1,0
274877,"Amazing loft in the heart of Paris",1437168,"Jeremix",NA,"Bourse",48.86624,2.34518,"Entire home/apt",130,3,53,"1561651200",0.59,1,359
275219,"Chic Studio in the Paris Marais! Book for 2019!!",1438759,"Christine",NA,"Hôtel-de-Ville",48.85653,2.35918,"Entire home/apt",82,4,192,"1561219200",2.16,1,235
275549,"Your home in Montmartre Sacré Coeur",1012294,"Matt Carter",NA,"Buttes-Montmartre",48.88595,2.34881,"Entire home/apt",90,3,42,"1534089600",0.46,1,159
275645,"Charming Montmartre flat (up to 3)",1440891,"Agathe",NA,"Buttes-Montmartre",48.88741,2.33577,"Entire home/apt",90,3,106,"1561651200",1.15,1,1
277077,"Studio flat in the heart of Paris",1447154,"Gilles",NA,"Temple",48.861,2.3585,"Entire home/apt",88,30,108,"1539446400",1.2,1,209
277555,"Luxurious place close to the Marais",1449299,"Nancy",NA,"Popincourt",48.86287,2.37411,"Private room",59,3,189,"1560873600",2.08,1,146
277915,"100m2 Apartment Montorgueuil/Marais",1450878,"Jeremy",NA,"Bourse",48.86711,2.35197,"Entire home/apt",190,5,1,"1325606400",0.01,1,0
278472,"Spacious and atypical loft in Paris",1453283,"Barbara",NA,"Entrepôt",48.87732,2.35306,"Entire home/apt",230,2,16,"1449590400",0.19,1,0
278815,"Charming Eiffel Tower Houseboat",1446883,"Jean",NA,"Passy",48.8579,2.28725,"Entire home/apt",200,4,140,"1559404800",1.53,1,6
278842,"COSY OPEN SPACE IN CUTE PARIS!",1454675,"Alexandra",NA,"Opéra",48.87876,2.34331,"Entire home/apt",70,3,27,"1553961600",0.3,1,348
280475,"**NEW**Super luxury w/Super view",1461981,"Sabah *Sam*",NA,"Passy",48.8597,2.2882,"Entire home/apt",1000,365,0,"",NA,1,364
281221,"James-Joyce Flat, silent+central",1466028,"Vittorio",NA,"Panthéon",48.84643,2.35035,"Entire home/apt",147,2,323,"1561478400",3.66,1,250
281357,"Architect's studio under the roofs",1466666,"Maud",NA,"Buttes-Chaumont",48.8736,2.37785,"Entire home/apt",70,7,37,"1536508800",0.4,1,0
281420,"Beautiful Flat in le Village Montmartre, Paris",1466919,"Pierre",NA,"Buttes-Montmartre",48.88668,2.33343,"Entire home/apt",50,2,2,"1500739200",0.08,1,0
281965,"Sweet room in Nation area",1469624,"David",NA,"Reuilly",48.84634,2.40766,"Private room",45,4,41,"1559577600",0.5,3,8
282008,"HyperCentral Real Paris 3 BR Montorgueil Calm",1469886,"Marie-Pierre",NA,"Bourse",48.86801,2.34594,"Entire home/apt",250,4,25,"1535644800",0.27,1,16
282872,"Paris Centre Marais 3e Arr Large Studio",1473642,"Marguerite",NA,"Temple",48.86197,2.36168,"Entire home/apt",180,28,44,"1561824000",0.6,1,127
283583,"Cosy apartment in a private street",1477071,"Amandine",NA,"Buttes-Montmartre",48.88953,2.32685,"Entire home/apt",80,6,1,"1337356800",0.01,1,257
283632,"Cosy Studio - Le Marais",1477270,"Elsa",NA,"Popincourt",48.85657,2.36834,"Entire home/apt",60,2,30,"1480435200",0.53,1,0
284255,"Good location in the heart of Paris",1024340,"Olivier",NA,"Entrepôt",48.86866,2.36651,"Entire home/apt",58,14,78,"1559232000",0.85,1,4
284315,"Cosy & quiet Nation area apartment",1469624,"David",NA,"Reuilly",48.84697,2.40827,"Entire home/apt",90,4,41,"1561219200",0.45,3,58
285108,"Studio flat for lovers in Paris!",1484225,"Mathilde",NA,"Buttes-Chaumont",48.886,2.38629,"Private room",57,3,0,"",NA,1,0
285786,"HEART OF PARIS typical parisian",1487400,"Dominique",NA,"Louvre",48.86377,2.3483,"Entire home/apt",129,17,133,"1561478400",1.52,1,53
286005,"Really nice place in Paris!!!",1487808,"Hind",NA,"Ménilmontant",48.87264,2.40765,"Private room",175,2,0,"",NA,1,0
286364,"BEAUTIFUL APT IN PARIS, BELLEVILLE",1274260,"Jasmina",NA,"Buttes-Chaumont",48.87377,2.38076,"Entire home/apt",80,1,6,"1430236800",0.07,1,0
287037,"Private room in Paris 19è. Calm",1493417,"Javier",NA,"Ménilmontant",48.87326,2.38609,"Private room",38,10,59,"1509379200",0.66,2,219
287223,"The art of simple Luxury in Paris",1299285,"Alain",NA,"Élysée",48.87665,2.30577,"Entire home/apt",300,4,4,"1411660800",0.06,1,363
287674,"Rambuteau Paris",1466866,"Chokri",NA,"Temple",48.85837,2.36019,"Entire home/apt",119,2,174,"1561478400",2.19,8,267
287690,"Beautiful duple: Family and refined",1496369,"Grecia",NA,"Batignolles-Monceau",48.89295,2.31599,"Entire home/apt",100,5,5,"1408464000",0.07,1,0
287932,"Flat - 10' from Montmartre or Opera",1497135,"Laurent",NA,"Opéra",48.87577,2.34198,"Entire home/apt",92,3,86,"1425052800",0.94,1,0
288842,"Charming Parisian appartment",1500801,"Jacqui",NA,"Popincourt",48.85088,2.38272,"Entire home/apt",55,3,5,"1469980800",0.07,1,0
289021,"CHARMING FLAT st germain des pres",1501555,"Emilie",NA,"Observatoire",48.84181,2.33009,"Entire home/apt",95,3,2,"1366819200",0.03,1,361
289647,"NICE VIEW IN THE MARAIS  top floor",1503759,"Virgile",NA,"Hôtel-de-Ville",48.85745,2.35185,"Private room",145,4,100,"1562428800",1.16,2,325
289892,"Appartment near Le Marais in Paris",1504718,"Ivan",NA,"Popincourt",48.85638,2.3806,"Entire home/apt",116,2,62,"1554048000",0.69,1,78
290633,"GOLDEN VILLAGE",1507357,"Valeria",NA,"Popincourt",48.86855,2.37848,"Entire home/apt",45,4,37,"1561824000",0.4,1,271
290670,"Nice Studio close to Champs Elysees",58653,"Viviane Rahma",NA,"Élysée",48.87418,2.31107,"Entire home/apt",80,4,58,"1556121600",0.64,2,355
290988,"Amazng Best Paris Location Rmntc Wi",846758,"Karl",NA,"Bourse",48.86533,2.3468,"Entire home/apt",69,30,9,"1551024000",0.1,1,9
291235,"Big quiet studio Paris 13 / BNF",1509667,"Frédéric",NA,"Gobelins",48.82576,2.3711,"Entire home/apt",75,2,145,"1535731200",1.8,1,0
293228,"Studio au coeur du marais",804390,"Fiona",NA,"Temple",48.85998,2.36513,"Entire home/apt",130,5,38,"1560009600",2.84,2,296
297658,"Guesthouses in the heart of Paris!",1534767,"Martine&Robert",NA,"Batignolles-Monceau",48.88715,2.29575,"Entire home/apt",245,2,3,"1531324800",0.04,2,325
298423,"Central and warm 97m2 duplex apt.",1538406,"François",NA,"Ménilmontant",48.87054,2.37954,"Entire home/apt",125,3,116,"1544976000",1.34,1,190
298548,"Scenic view  from your dining room",1538816,"Remi",NA,"Gobelins",48.8324,2.36559,"Entire home/apt",120,3,57,"1562169600",0.66,1,100
301233,"ExeptCharm Balcony View Sun AirCond",1551963,"Danièle",NA,"Batignolles-Monceau",48.88701,2.31716,"Entire home/apt",150,30,17,"1556121600",0.2,2,299
302194,"Charming apartment 50 in Belleville",716205,"Ann",NA,"Popincourt",48.87065,2.37781,"Entire home/apt",86,2,46,"1561478400",0.53,5,43
304920,"Your private room near the Opéra",1499918,"Isabelle",NA,"Opéra",48.87277,2.34559,"Private room",75,2,71,"1561305600",0.78,1,30
306538,"Charming Parisian Studio",1576670,"Brigitte",NA,"Buttes-Chaumont",48.87754,2.38774,"Entire home/apt",80,5,35,"1556812800",0.43,1,6
306624,"Cosy & quiet Montmartre apartment",1577116,"Sylvie",NA,"Buttes-Montmartre",48.88384,2.34302,"Entire home/apt",120,4,158,"1561824000",1.78,1,287
306652,"chambre calme et ensoleillée",1577190,"Angelique",NA,"Buttes-Chaumont",48.88778,2.38503,"Private room",50,2,16,"1561046400",0.18,1,89
307154,"AMAZING LOFT MARAIS 1BR",248423,"Slimane",NA,"Temple",48.86353,2.35498,"Entire home/apt",189,4,31,"1562601600",0.35,1,43
308572,"Sunny & Nice Studio - Paris - St Germain des près!",1586572,"Rina",NA,"Luxembourg",48.84718,2.32563,"Entire home/apt",105,2,249,"1561910400",2.86,1,256
309092,"Superb Palais Royal Opera Studio",1561596,"Jean",NA,"Bourse",48.86812,2.33757,"Entire home/apt",115,3,89,"1475164800",1.03,1,0
310103,"Loft 150 m2 for rent minimum 7 nights for 6 people",1317183,"Annie",NA,"Entrepôt",48.87201,2.37486,"Entire home/apt",250,7,1,"1486656000",0.03,1,159
310765,"Nice & bright flat near Montmartre",1570250,"Olivia",NA,"Opéra",48.88027,2.33519,"Entire home/apt",88,2,31,"1562515200",0.35,2,140
310942,"Room in a loft with a piano",1599212,"Marisa",NA,"Passy",48.86132,2.27593,"Entire home/apt",550,3,21,"1546358400",0.23,1,129
311483,"Nice flat : 11eme arrondissement",1602275,"Gaël",NA,"Popincourt",48.86824,2.3735,"Entire home/apt",63,5,7,"1542729600",0.15,1,0
311499,"Big and calm studio in Montmartre",1602320,"Manuel",NA,"Buttes-Montmartre",48.89612,2.34276,"Entire home/apt",60,2,0,"",NA,1,191
311573,"ARTIST FLAT  IN  LE  MARAIS 77 M2",1602493,"Jean Michel",NA,"Temple",48.86454,2.36338,"Entire home/apt",151,3,51,"1561910400",0.58,1,190
312283,"90m2 Superb Central Flat for 5 (+ Private Garden)",1605593,"James",NA,"Popincourt",48.86189,2.37452,"Entire home/apt",149,4,102,"1562515200",1.13,1,40
312437,"Loft apartment in Montorgueil (2e)",1539531,"Pascale",NA,"Bourse",48.8669,2.34452,"Entire home/apt",115,2,235,"1562428800",2.64,1,182
312477,"Lovely 40m2 flat, Paris - left bank",1465330,"Lucile",NA,"Observatoire",48.83388,2.31736,"Entire home/apt",60,2,4,"1562428800",0.05,1,2
314288,"Bed & breakfast Paris Gare de Lyon",1614803,"Blandine",NA,"Reuilly",48.84364,2.3824,"Private room",85,1,271,"1562169600",3.17,2,295
314294,"Charming studio in historical site",1614865,"Carole",NA,"Reuilly",48.85012,2.38329,"Entire home/apt",100,5,238,"1561910400",2.7,1,89
314588,"Lovely apartment in the center",1334325,"Mika",NA,"Temple",48.86696,2.36175,"Entire home/apt",94,5,152,"1538755200",1.74,4,203
314903,"Typical Parisian loft in Bastille",1617534,"Thierry",NA,"Popincourt",48.85339,2.37326,"Entire home/apt",160,5,25,"1556553600",0.28,1,360
315665,"Paris Centre SweetHomeLeMarais",1621242,"Christophe",NA,"Temple",48.86336,2.35492,"Entire home/apt",120,2,512,"1562601600",5.73,2,304
316090,"Charming apartment with a balcony",1590522,"Elsa",NA,"Gobelins",48.82499,2.34999,"Entire home/apt",70,3,5,"1449331200",0.07,1,0
317690,"Eiffel Tower - Art Déco Apartment",1630680,"Martine",NA,"Vaugirard",48.85227,2.29704,"Entire home/apt",140,3,184,"1559750400",2.07,1,148
